,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
53,"(511.16071428571445, 722.0476190476188, '1.5377094167286214')","(1165.1361502347422, 197.10798122065694, '3.8652344510051564')","(1132.4197530864208, 805.6111111111107, '0.9727504140099843')","(363.9856115107918, 181.75539568345283, '2.0357461557859295')","(215.78616352201254, 815.201257861635, '0.3640918629341292')","(916.2264150943392, 186.86792452830144, '3.353928996008767')","(1119.7173913043484, 587.2246376811594, '0.5186634344715598')","(802.029761904762, 947.1607142857139, '1.7784475159226185')","(102.1547619047625, 999.2023809523805, '0.31760932543956805')","(452.3413173652697, 458.8742514970056, '3.0689291977522566')","(898.8970588235292, 579.9264705882352, '0.3626265713831286')","(1260.8770949720683, 921.9999999999995, '3.343102835504948')","(746.9315068493152, 24.458904109590094, '0.12573671062024736')","(667.3709677419354, 446.4758064516126, '0.1893447354413714')","(376.68749999999983, 516.5312499999999, '0.18836449769576566')","(145.90000000000077, 716.8428571428569, '0.15067873649912125')","(1129.1223021582741, 792.1726618705032, '0.8269949989966928')"
54,"(499.1629213483145, 721.0617977528091, '12.038225741114184')","(1168.9952606635063, 197.2511848341233, '3.8617665098120106')","(1131.579268292682, 804.6524390243901, '1.274937982163642')","(368.1192052980123, 175.32450331125926, '7.644800474864289')","(215.6153846153839, 816.1602564102564, '0.9740860594460641')","(913.388535031847, 193.70700636942706, '7.404498880998297')","(1119.7956204379552, 587.2189781021898, '0.07843359088414127')","(800.4730538922158, 946.3113772455099, '1.7733339347646915')","(102.51461988304004, 999.2982456140353, '0.3724081066306015')","(450.97109826589514, 461.64739884393055, '3.09319359045753')","(899.3115942028982, 579.8550724637681, '0.4206391243405954')","(1262.7150837988818, 923.82122905028, '2.587484914173672')","(746.9589041095891, 24.383561643835606, '0.0801691774716623')","(667.5, 446.32258064516145, '0.20031842497348115')","(376.8769230769229, 516.5999999999999, '0.20151343521214274')","(146.83443708609195, 717.2649006622516, '1.0253259970007857')","(1129.37037037037, 791.3111111111111, '0.8965531489329391')"
55,"(502.82183908045954, 722.7873563218392, '4.045396315042392')","(1167.0092165898611, 194.31797235023106, '3.542330664706855')","(1133.4347826086948, 803.6832298136645, '2.093394341991989')","(375.99999999999926, 173.37162162162264, '8.119154637558282')","(215.3589743589738, 816.025641025641, '0.28959889738643224')","(908.3885714285715, 200.22857142857157, '8.217691090247593')","(1119.7714285714278, 587.45, '0.2322850913724996')","(801.6745562130179, 945.9822485207111, '1.2457662478894274')","(102.4319526627213, 999.3372781065091, '0.09141884260885588')","(445.83139534883657, 464.2558139534884, '5.763711951458907')","(899.1468531468529, 580.1538461538462, '0.3411822583748679')","(1263.5254237288127, 922.2824858757068, '1.7390748573123298')","(746.9241379310344, 24.268965517242805, '0.11975374483235098')","(667.3833333333332, 446.47500000000036, '0.19194470776931988')","(376.5905511811023, 516.4094488188975, '0.34397473066402273')","(146.1862068965512, 716.986206896552, '0.7056008742000832')","(1129.8923076923074, 790.5615384615386, '0.9133880473371907')"
56,"(507.60693641618474, 722.9595375722542, '4.788194116298845')","(1170.9541284403679, 196.80733944954187, '4.6646841332934486')","(1133.6187500000012, 805.4375000000005, '1.7638899874230192')","(376.74647887324016, 172.58450704225424, '1.0847949434106383')","(215.69375000000025, 815.7562499999999, '0.42970484581934665')","(908.4906832298134, 197.39751552795076, '2.8328968093442404')","(1119.6492537313443, 587.7388059701492, '0.313585044195714')","(801.3235294117645, 945.976470588236, '0.3510743506750083')","(102.22674418604743, 999.2674418604656, '0.2167662800350956')","(448.3136094674562, 456.46153846153857, '8.179982724620205')","(899.333333333333, 579.822695035461, '0.38004726437300357')","(1262.276836158192, 925.0960451977408, '3.0781629229318694')","(746.9722222222222, 24.409722222221717, '0.14874323196554387')","(667.5528455284554, 446.52845528455265, '0.17774096810159332')","(376.91603053435085, 516.5725190839696, '0.3640449432992849')","(145.5958904109599, 716.6095890410957, '0.7002246512436987')","(1130.1851851851857, 792.0666666666668, '1.5333584511480705')"
57,"(503.23030303030316, 726.4363636363635, '5.5895652133669955')","(1160.603351955307, 200.63687150838018, '11.036479947581027')","(1136.140127388534, 805.2675159235674, '2.527100813510424')","(378.8169934640517, 174.41830065359403, '2.765832547309034')","(215.51265822784808, 815.1012658227847, '0.6795575783871788')","(911.4875000000002, 198.36249999999984, '3.1483496923576757')","(1119.696969696969, 587.8181818181819, '0.09261392242211766')","(801.621951219512, 947.6646341463411, '1.7143371238625402')","(102.15789473684151, 999.3274853801172, '0.09135354896284194')","(444.98453608247365, 457.1288659793818, '3.3952990470163478')","(899.2214285714289, 579.9071428571428, '0.14019311796100445')","(1263.1348314606726, 922.3707865168533, '2.8571298214871317')","(746.923076923077, 24.43356643356674, '0.054624233108873856')","(667.3852459016395, 446.57377049180315, '0.17361769183174933')","(376.5801526717558, 516.7862595419848, '0.39811923085172357')","(146.07746478873116, 716.9859154929576, '0.6111754900981967')","(1130.7659574468078, 792.4326241134755, '0.6864555868695158')"
58,"(496.22424242424273, 724.060606060606, '7.397912494383859')","(1158.4304635761587, 197.1920529801319, '4.072863685516708')","(1134.435897435897, 804.9679487179484, '1.7303584143602853')","(378.9264705882348, 174.81617647058914, '0.4126625818619033')","(215.40764331210158, 816.0573248407638, '0.9618092214095296')","(914.9642857142854, 192.79761904761995, '6.561702440466087')","(1119.6488549618316, 587.793893129771, '0.053897756187673174')","(801.5688622754492, 946.892215568862, '0.7742408506508699')","(102.04651162790822, 999.174418604652, '0.18930302350186906')","(445.5851063829782, 451.4627659574463, '5.697839427750283')","(899.0802919708027, 580.0000000000001, '0.16894374512223295')","(1263.4742857142874, 923.2742857142866, '0.965163193485893')","(746.9793103448275, 24.434482758620675, '0.05624088702508425')","(667.7154471544715, 446.6178861788614, '0.33313519960588356')","(376.7045454545451, 516.3636363636364, '0.44054956053478894')","(146.42068965517285, 717.5448275862066, '0.6558856889152775')","(1130.0687022900756, 791.6946564885491, '1.0152639898219253')"
59,"(499.6036585365854, 732.2439024390244, '8.853631620832022')","(1158.663157894736, 196.85263157894695, '0.4115258600386484')","(1135.7960526315785, 805.7368421052629, '1.5624401420199607')","(375.9270072992694, 178.88321167883169, '5.053469640448583')","(215.70700636942672, 815.6305732484072, '0.5212822284232828')","(915.5838509316766, 196.2236024844717, '3.4815547630596835')","(1119.719696969696, 587.7575757575756, '0.07960867792804924')","(800.62874251497, 946.8143712574847, '0.943337108809612')","(102.32748538011822, 999.25730994152, '0.2929457682895077')","(450.5758928571421, 450.928571428571, '5.019294116245581')","(899.2898550724634, 579.5289855072463, '0.515530160089421')","(1262.4309392265209, 923.5966850828725, '1.0920225484847805')","(746.9374999999999, 24.354166666667766, '0.09054711238460023')","(667.8582677165355, 446.7165354330706, '0.17357819075076092')","(376.24806201550325, 516.8217054263565, '0.6466872477023038')","(146.767605633803, 717.6549295774646, '0.3639686040139854')","(1129.7278911564617, 793.1496598639452, '1.4943851749831187')"
60,"(500.74305555555554, 731.8402777777779, '1.2087755929056463')","(1153.7899159663857, 195.33613445378182, '5.10374866376333')","(1133.7662337662332, 804.5909090909092, '2.3309498277520615')","(375.32653061224414, 184.74149659863974, '5.888979067148339')","(215.58598726114644, 815.9363057324844, '0.3288129808704567')","(910.3184713375797, 202.54777070063716, '8.22917528652107')","(1119.719424460431, 587.5179856115108, '0.23959030104051673')","(800.7321428571431, 946.1309523809526, '0.6911967820829911')","(102.20710059171756, 999.301775147929, '0.12833414144047298')","(448.8074866310153, 448.7165775401072, '2.831991797870378')","(899.1086956521738, 579.8333333333333, '0.3541840408651425')","(1263.6460674157306, 922.3202247191014, '1.7623528524364136')","(746.9589041095892, 24.383561643834355, '0.03636207625995785')","(667.6746031746031, 446.6190476190479, '0.20793397472789263')","(376.59523809523745, 516.4682539682542, '0.4954383549688668')","(146.16428571428582, 717.2857142857144, '0.7073293836313774')","(1129.4671532846705, 791.6934306569345, '1.4793876236933707')"
61,"(495.9605263157897, 731.0328947368423, '4.850201367366684')","(1149.639175257731, 184.45360824742272, '11.647232506590383')","(1132.7636363636357, 801.1030303030308, '3.629118348942042')","(375.4551724137923, 192.97931034482679, '8.238818120942698')","(215.3821656050951, 815.6560509554147, '0.3465342804772408')","(907.3164556962022, 200.1455696202528, '3.8448235254267624')","(1119.621212121211, 587.75, '0.25194511315176904')","(800.8802395209582, 946.4371257485036, '0.34010991286737535')","(102.16470588235416, 999.3117647058814, '0.04355574187282308')","(449.8097345132734, 451.81415929203604, '3.2556894089229806')","(899.1510791366901, 579.9136690647482, '0.09083055378957632')","(1261.747126436783, 923.0804597701142, '2.0454667375235043')","(747.0419580419582, 24.44755244755106, '0.10484645269281356')","(667.9140624999999, 446.65625000000057, '0.24233197409342522')","(376.5114503816787, 516.8549618320612, '0.39568087251420647')","(146.31372549019648, 717.0000000000005, '0.32243588461162764')","(1129.5403225806442, 788.9435483870974, '2.750855547613863')"
62,"(495.1476510067115, 730.0872483221475, '1.2470017681359296')","(1149.4680851063822, 188.22340425531888, '3.7736764277079193')","(1132.533333333333, 804.612121212121, '3.516640228119188')","(367.7548387096762, 189.29677419354812, '8.535585021556537')","(215.43749999999898, 815.5249999999997, '0.14225416751204253')","(910.4129032258065, 199.77419354838685, '3.1186387239222566')","(1119.7608695652161, 587.2246376811595, '0.5436081012305568')","(802.1280487804879, 948.2987804878046, '2.241157360947691')","(102.1556886227545, 999.2035928143712, '0.1085470823356589')","(453.3028846153835, 446.10576923076894, '6.692369888719908')","(899.1838235294118, 579.6029411764706, '0.312448421036448')","(1260.9438202247193, 923.0674157303367, '0.8034121092651476')","(747.0275862068967, 24.337931034484086, '0.11055950364322387')","(667.8000000000001, 446.66923076923047, '0.11479875555078276')","(376.76153846153784, 516.6076923076921, '0.3516905818604964')","(146.63698630136912, 717.1232876712327, '0.3459731231148747')","(1129.6343283582073, 791.194029850746, '2.2524439847510616')"
63,"(490.18918918918916, 727.1283783783787, '5.774188682400798')","(1149.7173913043478, 187.32608695652203, '0.9313065634172851')","(1131.860606060606, 805.8484848484852, '1.4075357987613009')","(368.17605633802816, 192.9084507042241, '3.636156144639973')","(215.40740740740716, 815.3641975308645, '0.16359400419598408')","(912.6265060240964, 202.81325301204674, '3.759776558820711')","(1120.6030534351144, 587.824427480916, '1.0339349469907446')","(800.3892215568862, 945.6526946107781, '3.1662739272112024')","(102.2339181286527, 999.2807017543846, '0.109843726371025')","(448.2616822429907, 441.21962616822464, '7.020549507486502')","(899.294964028777, 579.7841726618705, '0.21259600631099093')","(1263.0331491712702, 922.9944751381215, '2.090601773865221')","(746.9027777777778, 24.31944444444275, '0.12617011528277886')","(667.7596899224807, 446.7829457364345, '0.12064823295777542')","(376.87692307692305, 516.6000000000003, '0.11564074137266252')","(146.33566433566443, 717.6153846153848, '0.5770219488545936')","(1128.824427480916, 792.1526717557256, '1.254963638126641')"
64,"(486.5338345864666, 720.2180451127823, '7.817565037353567')","(1147.775510204082, 182.5510204081636, '5.154819371114905')","(1134.7987012987019, 805.3441558441561, '2.9810654760889466')","(370.2587412587421, 190.26573426573304, '3.3647476358918733')","(215.54777070063778, 815.8789808917201, '0.5335763888144295')","(911.8430232558147, 205.7965116279055, '3.084424941101633')","(1120.8091603053444, 588.6793893129772, '0.8794542490870981')","(800.4294117647058, 946.3176470588226, '0.666165903484186')","(102.06432748537884, 999.0760233918115, '0.2658086123353396')","(452.67464114832626, 445.00956937799083, '5.817033250157121')","(899.2720588235293, 579.8014705882352, '0.0287030779527804')","(1261.8944444444455, 923.5222222222226, '1.2550559508125878')","(746.9041095890409, 24.42465753424483, '0.10522151864965895')","(667.702479338843, 446.5537190082648, '0.23625821422237997')","(376.5801526717565, 516.786259541985, '0.3503787812683731')","(146.76551724138017, 717.0689655172416, '0.6952318687803475')","(1129.7608695652182, 792.4565217391307, '0.9845042354746112')"
65,"(484.9593495934963, 726.3414634146344, '6.3225987293632535')","(1151.2424242424245, 185.60606060606085, '4.620905058538301')","(1136.3602484472037, 803.5590062111803, '2.3717480281657406')","(370.40972222222166, 191.19444444444474, '0.9409026768884945')","(215.4528301886782, 815.1761006289311, '0.7092632548140873')","(907.4939024390244, 203.43292682926847, '4.949887370373897')","(1120.6030534351132, 587.8244274809159, '0.879454249087475')","(800.052941176471, 944.6000000000004, '1.7584201780252695')","(102.32941176470604, 999.1411764705886, '0.2729736229391873')","(455.8894472361806, 446.6834170854274, '3.6244646956752145')","(899.4375000000002, 579.5416666666666, '0.3080078903770562')","(1261.7977528089878, 925.2752808988766, '1.755723211716356')","(747.1554054054056, 24.182432432430915, '0.3490309259523937')","(667.8688524590164, 446.53278688524614, '0.16768473064144218')","(376.930769230769, 516.5384615384618, '0.4293434778867426')","(146.80821917808203, 717.027397260274, '0.05959341729934251')","(1130.5401459854015, 790.9489051094893, '1.697109201267042')"
66,"(488.8540145985405, 719.6277372262776, '7.761606459602505')","(1142.65, 176.80000000000018, '12.303514041094758')","(1136.5308641975314, 804.0185185185182, '0.4901645589543539')","(372.18881118881177, 192.86713286713194, '2.4419345016675735')","(215.3354037267087, 815.3229813664593, '0.18805032578412928')","(911.463414634147, 211.3902439024381, '8.892464341799947')","(1120.611940298508, 587.8059701492538, '0.020485346789442783')","(800.0363636363641, 947.0363636363628, '2.436420034276772')","(102.0357142857149, 999.1845238095231, '0.2968791015858981')","(457.87755102040865, 446.3214285714283, '2.020790028956264')","(899.066666666667, 579.8888888888889, '0.5080163705197441')","(1264.2372881355939, 926.3502824858754, '2.665888411357272')","(746.9310344827587, 24.2137931034473, '0.22655198656385925')","(667.758064516129, 446.5241935483872, '0.11112071691443116')","(376.9461538461544, 516.7000000000003, '0.16226940853648916')","(146.48051948052, 716.792207792208, '0.4033623404228541')","(1130.3308823529417, 791.4044117647062, '0.5012759527617626')"
67,"(480.01369863013645, 721.8767123287672, '9.121900867299422')","(1137.6071428571431, 181.6785714285715, '7.016471146305386')","(1134.249999999999, 805.5625000000001, '2.7543094057755457')","(376.589403973509, 189.89403973509764, '5.310790866573331')","(215.36942675159145, 815.5987261146498, '0.2778358011070865')","(915.557575757575, 211.5818181818164, '4.098640751408837')","(1120.7555555555546, 587.9407407407408, '0.19694784686896413')","(801.9821428571427, 947.5773809523796, '2.019593155128974')","(102.42352941176557, 999.1764705882338, '0.38789873210263276')","(451.9633507853396, 445.80104712041896, '5.937049879784154')","(899.1159420289855, 579.4492753623189, '0.4423664929388007')","(1264.361581920903, 922.4124293785312, '3.939814213904825')","(747.076388888889, 24.36111111110904, '0.20695530619657668')","(667.9126984126984, 446.7142857142858, '0.24504422764932787')","(376.9384615384607, 516.5923076923078, '0.10796668344345611')","(146.93571428571352, 717.5000000000001, '0.8415296311398255')","(1129.7956204379557, 792.3503649635037, '1.0868913340116808')"
68,"(478.97350993377415, 725.9271523178804, '4.1818723832091464')","(1131.0714285714282, 184.99999999999983, '7.331265169095869')","(1137.5911949685542, 804.1383647798739, '3.632044182427013')","(375.31446540880546, 185.16981132075568, '4.893240486083239')","(215.57961783439555, 815.5350318471333, '0.2196298044547479')","(913.5738636363636, 206.5681818181826, '5.391814478131838')","(1120.6641221374052, 587.93893129771, '0.09145132059490939')","(800.2574850299396, 946.0239520958089, '2.321117367424406')","(101.9999999999992, 999.1479289940839, '0.42449002959760834')","(454.9368421052633, 452.968421052631, '7.75969714059861')","(899.15671641791, 579.7014925373135, '0.2554917888199658')","(1264.757062146893, 923.1412429378527, '0.8292007075490925')","(747.2244897959182, 24.39455782312905, '0.15183069916131478')","(667.8870967741935, 446.54838709677375, '0.16786242934777681')","(376.48818897637784, 516.3385826771652, '0.5168382372404162')","(146.8266666666666, 718.2, '0.7084429286962405')","(1130.5103448275868, 792.0413793103444, '0.7786546647852539')"
69,"(482.5735294117652, 726.830882352941, '3.7117203852372214')","(1129.3125000000002, 196.81249999999983, '11.942737792038544')","(1134.8862275449108, 805.0958083832338, '2.869415797089553')","(380.1077844311383, 181.2814371257482, '6.172143965451408')","(215.4937500000006, 815.3750000000005, '0.18161353771241337')","(905.6045197740118, 210.16384180790902, '8.74295215348477')","(1120.80985915493, 588.2957746478872, '0.38545616461892956')","(799.9880239520961, 946.6706586826344, '0.7005988023941497')","(102.50588235294185, 999.1882352941171, '0.5074855198339719')","(463.6158192090401, 453.8079096045203, '8.719483046410257')","(899.0724637681162, 579.6811594202899, '0.0866714753836361')","(1262.1910112359556, 924.2359550561803, '2.7898049931019537')","(747.013698630137, 24.321917808219837, '0.22295624534289876')","(667.9603174603174, 446.6904761904764, '0.15984548609727917')","(376.9689922480626, 516.643410852713, '0.5692907892023205')","(145.81379310344892, 716.6206896551722, '1.8762020201314906')","(1129.9230769230776, 791.8846153846155, '0.6078309963111082')"
70,"(479.55118110236174, 732.4251968503935, '6.35853316416304')","(1130.9999999999995, 198.31578947368405, '2.2599857282043785')","(1134.993377483443, 806.5033112582782, '1.4115755213894188')","(376.19540229884996, 179.8333333333323, '4.171778822356075')","(215.47169811320703, 815.6918238993715, '0.3175904106294828')","(907.2590673575125, 210.80310880828944, '1.773750265354039')","(1120.5187969924805, 587.7368421052631, '0.630176776479522')","(801.543209876543, 946.1111111111106, '1.6527845426418357')","(102.24550898203756, 999.1676646706578, '0.26118469102450875')","(462.2840909090903, 453.1647727272731, '1.4788932712547398')","(899.1582733812946, 579.863309352518, '0.201350161471303')","(1262.7528089887633, 923.0337078651687, '1.327032412322694')","(747.3219178082192, 24.321917808218018, '0.3082191780821404')","(667.8650793650794, 446.64285714285717, '0.10647942749994035')","(376.92366412213687, 516.4885496183206, '0.16135873362633094')","(146.44966442952978, 716.9127516778522, '0.6997374996552141')","(1130.007092198581, 793.2340425531918, '1.3520400326209978')"
