"dp 1","dp 2","dp 3","dp 4","dp 5","dp 6","dp 7","dp 8","dp 9","dp 10","dp 11","dp 12","dp 13","dp 14","dp 15","dp 16","dp 17"
2.60308415752383e-07,1.0356180805841e-08,2.68957906208509e-07,8.68719375641115e-07,1.39437779002731e-07,2.48613630158257e-08,1.40129420860674e-06,3.05005177847787e-07,1.00051700200559e-07,9.24824485273535e-07,8.37672484826179e-09,4.55891229509994e-08,2.31892441162691e-07,4.59228556506129e-07,4.6235136694432e-08,1.73550409211062e-08,1.34312018791607e-07
1.98157062683713e-07,8.65442815041668e-10,4.89558528365639e-07,4.96470036515193e-07,1.0651262380397e-07,1.75772791248884e-08,6.34454309142305e-07,3.88566536645376e-07,2.32512518002304e-08,1.24941636079201e-06,1.0278184984559e-08,1.2584952135447e-08,2.54305044988094e-07,9.19896429566299e-07,2.57807696047114e-08,3.88901247501197e-08,1.06794351307934e-07
1.28622196167534e-07,7.61814327405821e-08,1.08560864671598e-06,4.77106021338156e-07,1.74912646355304e-07,4.16877804602049e-08,8.51659875477505e-07,5.28457318341407e-08,3.64601934049233e-08,2.58591823516712e-07,2.28993990918148e-09,3.06983806466323e-08,1.65886662753668e-07,7.45965886341074e-07,2.37764066350642e-08,3.45275289614789e-08,1.85803188758982e-07
3.6775225333831e-08,5.04928504919162e-08,4.90131718736771e-07,1.29866282137836e-06,1.76160374150174e-07,6.47955555967064e-08,4.64640374422233e-07,1.59336465656134e-07,4.80093648233574e-08,3.1551629654749e-07,5.37033890892871e-09,2.87446493653393e-08,1.1524506373745e-08,7.81472986061037e-07,2.52960605201588e-08,1.8327315955615e-08,1.52974356472933e-07
1.97995698063284e-07,8.2697343398272e-08,6.67482797299312e-07,7.38284975210528e-07,5.93886449350147e-08,2.22895894335051e-08,8.98469649538516e-07,1.053626910817e-07,5.59596985998901e-08,9.30531752710873e-07,1.33955401449663e-08,2.02446033487413e-09,8.64720567890889e-08,6.18226803199232e-07,1.58355628363695e-08,3.42115531777155e-08,1.7906612319896e-07
1.35257365957379e-07,6.88022965562836e-08,5.89828511855689e-07,5.564297638428e-07,8.64097117251086e-08,9.70412276488329e-09,1.05903587826495e-06,1.45295934063205e-07,3.24386274798081e-08,9.80414187383327e-07,1.1506987382329e-08,2.13208744664888e-08,1.88405329160956e-07,5.67941617042117e-07,4.61159815024284e-08,4.70391969462263e-08,1.9455495265853e-07
2.60407488993137e-07,9.20829479882953e-08,7.92602701116531e-07,1.08092825302163e-06,8.4868632601844e-08,1.78829786201384e-08,1.23983212671816e-06,4.46403913442629e-08,5.54436644147041e-08,1.427051927415e-07,5.96477492126265e-09,8.1733550153399e-09,1.66236980218893e-07,1.05416229065317e-06,3.29039311991462e-08,1.33635382870097e-08,8.79765151434026e-08
1.17010325813952e-07,1.01016887174574e-07,8.5581728259247e-07,1.34484704239368e-06,1.10908671953559e-07,6.59005370611317e-08,2.18316351114039e-07,2.90842340268954e-07,6.71295539621796e-08,1.74386701479861e-07,6.13719902496743e-09,9.19452237663692e-09,2.52895609860252e-07,8.7333616699919e-07,1.50529284098036e-08,1.44182196450456e-08,5.46725224210542e-08
5.78091790287061e-08,5.98180549554461e-08,4.74100258657949e-07,2.43541372459824e-07,1.73349627678849e-07,3.22678686134073e-08,2.42187915203002e-07,7.90550224223844e-09,1.22999381672158e-07,2.38145317371085e-07,9.97321977020565e-09,8.53280342328189e-08,1.5344464592769e-07,6.69380499469643e-07,1.26970733420279e-08,5.16926755769982e-08,7.5305169956472e-08
7.45281927913768e-08,2.24450157822247e-08,9.44033823345432e-07,1.7263549065548e-06,1.67849266898762e-07,2.47731930539954e-08,6.86996571935105e-07,1.69877393975046e-07,7.4407819354469e-08,5.37182059362489e-07,1.4015831728496e-08,3.08326447612764e-09,3.35018094105469e-08,5.56161461819835e-07,4.93382768048918e-09,7.36224723923803e-09,9.37148361977071e-08
