"y 1","y 2","y 3","y 4","y 5","y 6","y 7","y 8","y 9","y 10","y 11","y 12","y 13","y 14","y 15","y 16","y 17"
6.97660714285714e-05,0.000133591614906832,4.91568791946308e-05,0.000134035555555556,4.79897798742138e-05,0.000131585659898477,7.65209854014598e-05,3.17098214285713e-05,2.50902366863905e-05,9.62394578313252e-05,7.75026785714286e-05,3.44414285714285e-05,0.000146835264900662,9.42057692307692e-05,8.55214552238806e-05,6.05085616438355e-05,5.08094827586206e-05
6.94812030075188e-05,0.000132989161849711,4.90849673202615e-05,0.000133216860465116,4.803515625e-05,0.000132289473684211,7.64392605633803e-05,3.18136094674557e-05,2.50887573964498e-05,9.59307324840765e-05,7.75008741258741e-05,3.44551104972376e-05,0.000146855960264901,9.41899606299213e-05,8.55187969924812e-05,6.04431034482759e-05,5.07910714285715e-05
7.00480072463768e-05,0.000132639400921659,4.91644736842106e-05,0.000133507386363636,4.80673076923078e-05,0.00013152868852459,7.65008741258741e-05,3.1738023952096e-05,2.50848214285715e-05,9.564296875e-05,7.75221631205674e-05,3.44343575418996e-05,0.000146858333333333,9.4171626984127e-05,8.55142045454545e-05,6.03622448979593e-05,5.08366788321168e-05
6.91533687943262e-05,0.000131559895833333,4.91217948717948e-05,0.000133175480769231,4.80124223602484e-05,0.000131623611111111,7.641875e-05,3.17352071005916e-05,2.50902366863905e-05,9.5060650887574e-05,7.75239361702128e-05,3.4592213114754e-05,0.000146840460526316,9.41839430894309e-05,8.55038167938932e-05,6.01396551724138e-05,5.07853260869566e-05
6.92236328125e-05,0.000132427725118483,4.91169871794872e-05,0.000132959146341464,4.80791139240506e-05,0.000131750698324022,7.65045289855073e-05,3.14799107142858e-05,2.5093005952381e-05,9.46666666666667e-05,7.7523381294964e-05,3.43460451977401e-05,0.000146890734265734,9.4188e-05,8.55140977443609e-05,6.01938775510204e-05,5.07799295774647e-05
6.86988188976378e-05,0.000132582116788321,4.91087662337662e-05,0.000132716981132075,4.79568181818182e-05,0.000131666903409091,7.64494680851064e-05,3.14720588235293e-05,2.50835798816568e-05,9.45987569060774e-05,7.75195895522388e-05,3.4492318435754e-05,0.000146921140939597,9.41805555555556e-05,8.54718992248062e-05,6.02056737588653e-05,5.08018707482994e-05
6.9155809859155e-05,0.0001315625,4.9167701863354e-05,0.000132485103626943,4.80268987341772e-05,0.000131172459893048,7.64716312056738e-05,3.15495562130177e-05,2.50904411764705e-05,9.44842857142857e-05,7.75202205882353e-05,3.45208333333332e-05,0.000146909395973154,9.4183e-05,8.54730769230769e-05,6.02551724137931e-05,5.08151785714285e-05
6.8205078125e-05,0.000130795289855072,4.91617647058824e-05,0.000132704234972678,4.80545886075949e-05,0.00013171243523316,7.65700354609929e-05,3.1718023255814e-05,2.50900297619046e-05,9.4496565934066e-05,7.74776785714286e-05,3.45303867403313e-05,0.000146913079470199,9.41875e-05,8.54673076923077e-05,6.02753378378379e-05,5.08333333333334e-05
6.76913461538462e-05,0.000130575581395349,4.91834415584416e-05,0.000132761642156862,4.80551242236024e-05,0.00013139217032967,7.65244565217391e-05,3.16361607142857e-05,2.50965568862273e-05,9.40675675675676e-05,7.74768835616438e-05,3.44241573033706e-05,0.000146921357615894,9.41875e-05,8.54769230769231e-05,6.02769097222222e-05,5.08239051094891e-05
6.74394230769231e-05,0.000129920454545454,4.91384493670886e-05,0.000132110119047619,4.80939440993788e-05,0.000131710982658959,7.64901785714286e-05,3.1579678362573e-05,2.50926470588235e-05,9.30057692307692e-05,7.74710144927536e-05,3.46101694915253e-05,0.000146914695945946,9.4191e-05,8.54595864661654e-05,6.0187937062937e-05,5.08039568345323e-05
