,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10,"(793.9230769230767, 1129.7972027972035, '0.34143401284850794')","(627.6558441558441, 505.8181818181815, '3.673828452049033')","(140.0909090909089, 940.1262626262621, '7.398595882188277')","(999.3470588235302, 102.58823529411677, '0.06701379878609433')","(133.23474178403865, 359.0563380281698, '11.210353668853951')","(945.5058823529411, 800.241176470588, '2.4400414227822984')","(715.3175675675674, 144.72972972972957, '2.082467326019066')","(579.8561151079135, 899.3165467625895, '0.3647129836079952')","(140.65258215962422, 1169.8826291079818, '6.949755005128922')","(417.1547619047617, 468.13690476190493, '2.151663249668069')","(25.013605442177777, 746.5306122448981, '0.19889090412660523')","(923.0611111111109, 1262.994444444445, '1.8551395293015263')","(446.4959349593494, 667.6666666666667, '0.3698810935554557')","(588.7410071942445, 1120.4244604316555, '0.0828494464467283')","(515.8863636363635, 376.8560606060609, '0.13884032736885')","(816.12101910828, 215.5987261146505, '0.8004136016044756')","(807.1315789473682, 1134.5986842105265, '0.24793489759983459')"
11,"(793.4275362318847, 1129.8985507246375, '0.5057983580659551')","(633.9470198675498, 502.00000000000034, '7.3591714365303895')","(146.83091787439486, 947.5072463768116, '9.995330886336056')","(999.2662721893478, 102.60355029585969, '0.08222547987647215')","(129.82870370370222, 362.81944444444474, '5.075634473138443')","(947.5833333333328, 802.5535714285713, '3.1085322931630097')","(716.3846153846159, 145.9020979020986, '1.5852565014697073')","(579.9166666666666, 899.2361111111117, '0.10067961708357615')","(136.82790697674392, 1170.953488372093, '3.9717602921215414')","(421.0662650602415, 467.93975903614484, '3.916468226925115')","(25.13513513513385, 746.6013513513512, '0.14061823299910695')","(923.1179775280899, 1265.0280898876404, '2.0344403599047514')","(446.5241935483871, 667.8709677419354, '0.2062461568376916')","(588.7375886524823, 1120.4184397163117, '0.006923542520333343')","(515.7537313432836, 376.5746268656717, '0.3111209980009575')","(816.2375000000002, 215.74374999999998, '0.1860100144018433')","(806.7924528301892, 1134.8553459119498, '0.4253019542988951')"
12,"(792.4918032786883, 1129.2540983606561, '1.1361844080688877')","(635.7426470588236, 507.6911764705883, '5.9677270907285935')","(145.1627906976738, 946.283720930233, '2.0687345881336965')","(999.2831325301199, 102.59638554216838, '0.018319519273451847')","(129.58715596330205, 369.6284403669727, '6.813279003820036')","(947.3705882352936, 802.1882352941174, '0.42276585467312566')","(715.6643835616434, 146.63698630136957, '1.028977569340272')","(580.1608391608393, 899.2097902097906, '0.2455870451730586')","(140.45517241379264, 1169.76551724138, '3.816848170705247')","(427.5119047619043, 462.1190476190484, '8.68486917372787')","(24.80952380952317, 746.6734693877551, '0.33350224368163894')","(924.3922651933697, 1264.6574585635365, '1.3270933020293425')","(446.552845528455, 667.6829268292684, '0.19021125308051365')","(588.1328671328672, 1120.3426573426582, '0.6094514619246566')","(515.9701492537314, 376.7462686567171, '0.27622023169183085')","(816.0312499999995, 215.5375000000007, '0.29168154723938655')","(806.1629213483141, 1133.4662921348324, '1.5250509114111537')"
13,"(793.5821917808223, 1130.0958904109593, '1.3775198515955178')","(641.8714285714286, 506.4571428571428, '6.251783888488297')","(147.31472081218226, 944.9644670050759, '2.524130372379918')","(999.2781065088764, 102.63905325443716, '0.04296271127142967')","(127.71555555555403, 372.83999999999907, '3.7171229953778666')","(946.3214285714294, 801.4642857142854, '1.2746917252490757')","(715.9315068493156, 146.76027397260168, '0.2942018026706482')","(579.9785714285714, 899.3500000000004, '0.22995719492271408')","(131.26708074534235, 1174.6149068322975, '10.389302571026846')","(430.08433734939814, 465.07831325301214, '3.9210537498941687')","(25.317880794701523, 746.774834437086, '0.518364444773651')","(924.4685714285721, 1264.605714285714, '0.0921960509899603')","(446.35384615384646, 667.6461538461539, '0.20236848416127054')","(587.8321167883212, 1120.0729927007294, '0.4039428039353298')","(515.8283582089553, 376.7089552238805, '0.14661852764492023')","(816.0817610062899, 215.91823899371036, '0.38407491858685894')","(806.7770270270275, 1134.9121621621616, '1.5708806194479166')"
14,"(793.7234042553189, 1129.8723404255315, '0.2644155043453488')","(644.1503759398497, 502.067669172932, '4.945814425593855')","(141.68421052631533, 940.0947368421049, '7.444254021686985')","(999.289940828402, 102.53254437869907, '0.10716432115973064')","(134.26511627906928, 369.8790697674428, '7.187757196308128')","(945.4911242603546, 801.609467455621, '0.8429015286536038')","(716.4551724137928, 148.25517241379464, '1.5839655845062737')","(579.993006993007, 899.3426573426569, '0.016195682678993018')","(136.08670520231175, 1178.0289017341047, '5.906279801684227')","(432.5541401273882, 460.3439490445861, '5.339862378394499')","(25.152317880794158, 746.7086092715233, '0.1783167154680407')","(924.359116022099, 1263.9226519337026, '0.6917764543127111')","(446.4803149606297, 667.6535433070868, '0.1266845026909563')","(588.4859154929578, 1119.9718309859165, '0.661578747186176')","(515.8496240601505, 376.43609022556416, '0.27369242542172373')","(815.7187499999998, 215.65625000000023, '0.4476775887991211')","(807.3618421052628, 1133.6315789473692, '1.4078004282352279')"
15,"(793.4499999999996, 1130.4928571428577, '0.6780788179171527')","(639.6159420289855, 502.3550724637679, '4.543532936336939')","(147.77049180327788, 935.1475409836073, '7.843313499066619')","(999.3214285714278, 102.61904761904668, '0.092055899058632')","(131.9409090909097, 361.73181818181826, '8.472287026119572')","(946.0958083832322, 800.6167664670656, '1.1623674725056365')","(717.1020408163259, 147.3877551020405, '1.0820589276590316')","(579.822695035461, 899.3333333333338, '0.1705669957319107')","(138.88479262672695, 1174.5668202764987, '4.451438110742404')","(434.8562499999998, 456.2250000000009, '4.7186280948455135')","(25.1333333333331, 746.6333333333332, '0.0776329821190663')","(924.5251396648035, 1262.4245810055877, '1.5072426332876465')","(446.6269841269841, 667.9920634920634, '0.3689278520194269')","(587.993006993007, 1120.2167832167843, '0.5504183724502685')","(515.8863636363636, 376.810606060607, '0.3763135755698101')","(815.4615384615379, 215.62179487179571, '0.2595090198384651')","(806.8187919463081, 1135.127516778524, '1.59145639896948')"
16,"(793.5777777777774, 1129.8148148148155, '0.6899772163707901')","(646.77304964539, 506.81560283687986, '8.433298325225374')","(147.01111111111175, 936.0000000000006, '1.1416415419319978')","(999.2781065088764, 102.63905325443818, '0.04771819937010121')","(134.59615384615483, 371.28846153846087, '9.91865701374526')","(946.1183431952672, 800.2603550295862, '0.3571231307541033')","(718.8827586206899, 148.46896551724137, '2.0832599119450963')","(579.8085106382979, 899.3971631205679, '0.06538684012271918')","(147.52083333333405, 1175.0104166666663, '8.647426024173013')","(439.5147928994083, 460.5266272189348, '6.340821608932246')","(25.276315789474666, 746.6381578947369, '0.14306382896110711')","(923.2622950819677, 1262.8415300546444, '1.3298958417511417')","(446.5284552845525, 667.7479674796748, '0.2632314495931698')","(588.65, 1120.5499999999993, '0.736663583906362')","(515.9694656488548, 376.8778625954197, '0.10690830629607745')","(815.9006211180125, 215.5590062111799, '0.44354931531763253')","(806.8930817610068, 1134.4528301886785, '0.6787642971499137')"
17,"(794.2434210526318, 1129.2368421052624, '0.8815517128035556')","(646.2109374999999, 499.85156249999994, '6.986689335993522')","(145.99441340782084, 936.9553072625694, '1.3950936118388897')","(999.255952380952, 102.59523809523819, '0.04909759219973941')","(136.326829268292, 371.05365853658424, '1.7465308089123106')","(948.1607142857135, 801.3750000000001, '2.326738722151631')","(718.4489795918366, 147.63945578231312, '0.9360826065116173')","(579.8129496402877, 899.3237410071937, '0.0735561790130954')","(140.57819905213222, 1166.7914691943117, '10.75877633914946')","(442.66666666666674, 466.6045197740102, '6.8465382607397585')","(24.874125874125184, 746.979020979021, '0.5272042964890538')","(925.2316384180788, 1263.3050847457616, '2.023164878882016')","(446.49600000000015, 667.6320000000001, '0.12042342727842871')","(587.963768115942, 1120.1231884057959, '0.8081350973965958')","(515.8872180451127, 376.796992481202, '0.11534575716036458')","(815.367088607595, 215.620253164556, '0.5370364316974369')","(807.4726027397257, 1134.3287671232868, '0.5926518446523021')"
18,"(793.5850340136051, 1130.346938775509, '1.2906541405236447')","(650.4094488188973, 496.52755905511833, '5.355043995757146')","(146.66477272727326, 938.7386363636365, '1.9051625389686795')","(999.3313609467456, 102.62130177514678, '0.07978575816164522')","(138.26415094339774, 371.0801886792439, '1.937503321624015')","(948.223529411766, 801.3823529411767, '0.06324401793790756')","(718.3546099290777, 148.09219858155905, '0.46247343222964865')","(579.8432835820895, 898.6417910447763, '0.6826242738625514')","(139.34306569343147, 1165.2846715328456, '1.9483309796785928')","(443.2099447513808, 462.8508287292811, '3.7928020692635953')","(24.630872483223243, 746.8926174496646, '0.25814294890725836')","(924.0614525139679, 1263.6759776536314, '1.2275571674215215')","(446.5555555555552, 667.7142857142858, '0.10157658673622291')","(588.4042553191489, 1119.9361702127644, '0.4785444396435688')","(516.2248062015503, 376.55813953488394, '0.41354140461598543')","(816.3454545454542, 215.515151515151, '0.9839950533772635')","(807.1298701298701, 1134.4870129870114, '0.37750151687695876')"
19,"(793.521126760564, 1129.00704225352, '1.3414197056214021')","(646.7535211267603, 499.0633802816907, '4.449291694558681')","(150.62032085561583, 937.0588235294122, '4.29745647489991')","(999.276470588236, 102.52352941176457, '0.1121266538279683')","(140.11917098445554, 365.9067357512942, '5.495972575480842')","(947.6035502958587, 802.5917159763316, '1.3590191518003716')","(717.9586206896549, 148.53793103448265, '0.5962255423310148')","(579.8382352941177, 898.6176470588241, '0.024666115809021144')","(147.5000000000005, 1154.1400000000003, '13.810839252438415')","(444.1257142857146, 455.35428571428554, '7.55227058676346')","(24.724832214764888, 746.718120805369, '0.19818554443196323')","(923.8333333333344, 1263.8166666666675, '0.268014475284375')","(446.53599999999983, 667.68, '0.039470621443913445')","(588.2269503546099, 1119.9645390070912, '0.17956012625779735')","(516.2153846153846, 376.50000000000045, '0.058897977913904255')","(815.7848101265827, 215.715189873417, '0.5952625548357523')","(806.7861635220131, 1133.8364779874207, '0.7357513288992972')"
