Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wasserrgehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G10P5;10;5;Kiefernwald;373128;5801776;6;6;4;06. Mai;250.6;35.63;06. Jan;Jan 28;0.52;Feb 63;05. Aug;Apr 77;1;3;42;50;1;0.9;0;02. Jan;100;fSms
G11P1;11;1;Kiefernwald;373109;5801733;3;14;14;20;248.42;18.68;Mrz 18;Jan 39;0.47;Feb 23;Apr 78;Apr 46;0;4;43;48;0.5;0.9;0;03. Jun;100;fSms
G11P2;11;2;Kiefernwald;373115;5801733;02. Mai;13;13;19;249.63;38.46;Feb 17;01. Apr;0.47;Jan 67;05. Dez;Apr 69;1;6;46;41;0.1;0.6;0.9;04. Apr;100;fSms
G11P3;11;3;Kiefernwald;373134;5801734;5;13;12;19;251.64;NA;Mrz 31;Jan 25;0.53;02. Jan;Apr 65;Apr 54;1;4;50;39;0.6;01. Mai;0.8;03. Feb;100;mS
G11P4;11;4;Kiefernwald;373121;5801739;02. Mai;13;10;19;250.22;26. Mrz;Feb 99;Jan 42;0.47;Jan 97;Mai 16;05. Feb;0;4;48;43;0.1;02. Jan;0;02. Aug;100;fSms
G11P5;11;5;Kiefernwald;373115;5801752;0.5;8;8;13;246.3;36.26;Mrz 77;Jan 23;0.54;Feb 19;05. Feb;Apr 95;0;5;44;45;01. Jan;01. Feb;0;03. Jul;100;fSms
G12P1;12;1;Trockenwiese;373061;5801775;4;22;22;16;250.56;Jul 93;07. Apr;Jan 44;0.46;02. Mrz;Mai 13;05. Nov;0;4;46;41;0;05. Feb;0.7;03. Jan;100;mSfs
G12P2;12;2;Trockenwiese;373054;5801756;4;26;20;20;248.91;Nov 52;Jul 26;Jan 29;0.51;Feb 83;05. Sep;05. Jan;1;4;46;43;1;0.7;0.8;03. Mai;100;mSfs
G12P3;12;3;Trockenwiese;373042;5801769;5;31;10;25;250.29;13;Sep 91;Jan 39;0.47;Feb 95;Mai 31;05. Feb;1;4;41;50;0.8;0.6;0;02. Jul;100;fSms
G12P4;12;4;Trockenwiese;373040;5801757;3;26;12;20;251.18;Dez 91;Aug 95;Jan 33;0.5;Mrz 14;Mai 46;Mai 38;1;3;42;47;0.6;01. Mrz;01. Mrz;03. Aug;100;fSms
G12P5;12;5;Trockenwiese;373042;5801744;5;25;11;19;250.33;Mai 28;Aug 13;Jan 42;0.46;Feb 67;Apr 93;Apr 34;0;4;42;47;01. Mrz;01. Feb;0;04. Mai;100;fSms
G13P1;13;1;Kiefernwald;373127;5801771;7;6;10;13;249.81;Jul 24;Nov 61;Jan 29;0.51;04. Feb;Apr 25;Mrz 82;0;6;48;44;0.5;0.3;0;01. Feb;100;mSfs
G13P2;13;2;Kiefernwald;373127;5801758;10;4;16;16;249.4;34.32;08. Jul;0.94;0.65;Aug 33;Mrz 99;Mrz 67;0;3;56;41;0;0;0;0;100;mSfs
G13P3;13;3;Kiefernwald;373121;5801740;4;2;11;10;250.5;28.61;Mrz 89;Jan 23;0.54;Mrz 95;Apr 94;Apr 64;0;4;47;46;0.2;0.1;0;02. Jul;100;mSfs
G13P4;13;4;Kiefernwald;373109;5801746;8;1;1;14;248.71;Aug 29;05. Aug;Jan 31;0.5;Apr 16;Apr 31;04. Apr;1;3;44;48;0.9;0.4;0;02. Jul;100;fSms
G13P5;13;5;Kiefernwald;373102;5801734;5;4;5;8;249.87;14.78;Apr 75;01. Dez;0.58;Mai 94;Apr 54;Apr 18;0;4;43;49;01. Jan;0.1;0;02. Jul;100;fSms
G14P1;14;1;Kiefernwald;373104;5801741;10;1;10;11;252.67;19. Mai;Mrz 59;Jan 39;0.48;Jan 89;Apr 84;Apr 52;1;4;41;49;01. Mai;01. Mrz;0;02. Feb;100;fSms
G14P2;14;2;Kiefernwald;373137;5801752;11;3;9;12;250.26;34.79;05. Mrz;01. Jan;0.59;Apr 64;03. Sep;Mrz 54;1;4;50;42;0.9;0.4;0;01. Aug;100;mSfs
G14P3;14;3;Kiefernwald;373139;5801755;7;2;11;9;253.22;30.56;Apr 78;Jan 27;0.52;Feb 21;Apr 58;Apr 37;1;6;46;42;02. Aug;0;0;02. Feb;100;mSfs
G14P4;14;4;Kiefernwald;373106;5801778;6;2;8;8;250.36;21.51;Mai 19;Jan 22;0.54;04. Mai;Mrz 74;Mrz 41;1;4;43;46;02. Jan;1;0;02. Sep;100;fSms
G14P5;14;5;Kiefernwald;373134;5801778;6;1;11;11;249.57;19.64;Mrz 88;Jan 42;0.46;Jan 58;Apr 91;Apr 55;0;2;39;54;0.6;1;0;03. Apr;100;fSms
G15P1;15;1;Trockenwiese;373060;5801744;1;22;14;17;249.12;05. Mrz;Jun 81;Jan 46;0.45;Mrz 15;Apr 48;Apr 13;2;5;38;49;0.9;1;0;04. Jan;100;fSms
G15P2;15;2;Trockenwiese;373073;5801756;NA;15;8;8;250.94;Okt 32;02. Mrz;Jan 56;0.41;Jan 75;Mai 26;05. Nov;0;2;45;48;0.4;0.4;0;04. Feb;100;fSms
G15P3;15;3;Trockenwiese;373073;5801763;NA;15;11;11;246.56;Nov 42;02. Jul;Jan 59;0.4;Jan 96;05. Feb;Apr 97;1;3;48;43;01. Jan;0.3;0;03. Jul;100;mSfs
G15P4;15;4;Trockenwiese;373048;5801769;1;24;15;18;249.93;Okt 83;06. Feb;Jan 42;0.46;Feb 93;Jun 34;05. Dez;0;3;42;47;01. Aug;0.9;0;05. Mrz;100;fSms
